id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1913,REQ-CSVC-001,Functional,"The OPC client library/service shall support communication using OPC Data Access (DA) versions 2.05a and 3.0, OPC Unified Architecture (UA) version 1.04 and higher (including relevant companion specifications as applicable), and OPC XML-DA version 1.01 for real-time data exchange. The client shall handle diverse data types and structures as defined by these standards.",Core OPC Client Services,"Supports OPC DA (versions 2.05a and 3.0), OPC UA (version 1.04 and higher, including relevant companion specifications as applicable), and OPC XML-DA (version 1.01), handling diverse data types and structures. Ensures compatibility with servers from manufacturers like Siemens or Rockwell.",,,,FALSE,high,
1914,REQ-CSVC-002,Functional,"The OPC client library/service shall provide functionality to browse the address space (namespace) of connected OPC DA and OPC UA servers, enabling discovery of available tags and server structure.",Core OPC Client Services,Allows users to browse server namespaces...,,,,FALSE,high,
1915,REQ-CSVC-003,Functional,"The OPC client library/service shall enable applications to read the current values, timestamps, and quality of specified tags from connected OPC DA and OPC UA servers.",Core OPC Client Services,...read current tag values...,,,,FALSE,high,
1916,REQ-CSVC-004,Functional,The OPC client library/service shall enable applications to write values to specified tags on connected OPC DA and OPC UA servers.,Core OPC Client Services,...and write updates.,,,,FALSE,high,
1917,REQ-CSVC-005,NonFunctional,The OPC client library/service shall achieve a P99 latency of less than 50ms for typical synchronous read and write operations to OPC servers under defined load conditions.,Core OPC Client Services,"Ensures low-latency communication for time-critical applications, with target read/write latency of less than 50ms (P99) for typical operations.",,,,FALSE,high,
1918,REQ-CSVC-006,Functional,"The OPC client library/service shall implement robust error handling for read and write operations, providing clear status codes and descriptive messages to the calling application for failures such as communication timeouts, connection loss, invalid tag addresses, or access denied.",Core OPC Client Services,"Error handling for failed read/write operations (e.g., communication timeouts, connection loss, invalid tag address) will be implemented, providing clear status codes and messages to the calling application or UI.",,,,FALSE,high,
1919,REQ-CSVC-007,Functional,"The OPC client library/service shall support configurable client-side data validation rules (e.g., range checks, data type checks) for write operations before sending data to the OPC server. The system shall provide feedback if validation fails.",Core OPC Client Services,"Data validation rules for write operations (e.g., range checks, type checks if configurable by user) will be supported.",,,,FALSE,medium,
1920,REQ-CSVC-008,Functional,"The system shall provide a mechanism to import tag configurations (including tag lists, server addresses, item IDs, and scaling parameters) from common file formats (e.g., CSV, XML). The system shall validate imported configurations for correctness and completeness.",Core OPC Client Services,"A mechanism for importing existing tag configurations (e.g., tag lists, addresses, scaling parameters) from common legacy OPC client formats or spreadsheets will be provided to expedite setup. Validation of imported configurations will be performed.",,,,FALSE,medium,
1921,REQ-CSVC-009,Functional,"The system shall log all write operations to designated critical control system tags. Each log entry must include user credentials (if available from the calling context), timestamp of the operation, the tag identifier, the old value (if retrievable), and the new value written. This logging must support audit trail requirements for regulations like FDA 21 CFR Part 11.",Core OPC Client Services,"All write operations to critical control system tags must be logged with user credentials, timestamp, old value, and new value for audit trail purposes, in compliance with relevant industry regulations (e.g., FDA 21 CFR Part 11 for pharmaceutical applications).",,,,FALSE,high,
1922,REQ-CSVC-010,Functional,"The system shall support configurable limits on data write operations, including rate limits (number of writes per unit of time to a tag/server) and value change thresholds that may require secondary confirmation before the write is executed. These limits shall be configurable based on organizational policies.",Core OPC Client Services,"Configurable limits on data write operations (e.g., rate limits, value change thresholds requiring secondary confirmation) may be implemented based on organizational safety and operational policies.",,,,FALSE,medium,
1923,REQ-CSVC-011,Functional,The OPC client library/service shall implement the OPC Historical Data Access (HDA) specification to retrieve historical data from compliant OPC HDA servers. This includes supporting queries for processed or raw data over specified time ranges.,Core OPC Client Services,"Implements the OPC Historical Access specification, supporting queries over specific time ranges.",,,,FALSE,high,
1924,REQ-CSVC-012,Functional,"The OPC client library/service, when querying OPC HDA servers, shall support requesting various data aggregation functions as defined by the OPC HDA specification. Supported functions must include average, minimum, maximum, count, range, total, and standard interpolation types (e.g., linear, stepped). The service shall also support filtering criteria as per OPC HDA for historical data queries.",Core OPC Client Services,"Includes data aggregation, filtering, and trend visualization tools. Supported data aggregation functions will include, but are not limited to, average, minimum, maximum, count, range, total, and various interpolation types (e.g., linear, stepped).",,,,FALSE,high,
